time,px_est,py_est,pz_est,vx_est,vy_est,vz_est,qw_est,qx_est,qy_est,qz_est,pbarx_est,pbary_est,bgx_est,bgy_est,bgz_est,bax_est,bay_est,baz_est,bmx_est,bmy_est,bmz_est,px_true,py_true,pz_true,vx_true,vy_true,vz_true,qw_true,qx_true,qy_true,qz_true,pbarx_true,pbary_true,bgx_true,bgy_true,bgz_true,bax_true,bay_true,baz_true,bmx_true,bmy_true,bmz_true,P_0,P_1,P_2,P_3,P_4,P_5,P_6,P_7,P_8,P_9,P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_17,P_18,P_19
0.512821,-49.426841,-9.566256,-24.519551,0.136156,-0.093000,-0.034091,0.999881,0.008562,0.008084,0.009940,0.209883,0.494212,-0.000248,-0.000314,0.000644,-0.000118,0.000336,0.000102,0.000000,0.000000,0.000000,-49.993178,-9.999541,-25.000571,0.039617,0.002681,-0.003327,0.999999,0.000330,0.000660,0.000991,0.198421,0.501402,0.005008,-0.003002,0.001998,0.019981,-0.009850,0.015188,0.000000,0.000000,0.000000,0.002502,0.002506,0.002507,9.065283,9.063826,9.060439,0.307904,0.300317,0.242387,0.000065,0.000066,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.564103,-49.412485,-9.556739,-24.540307,0.148533,-0.064380,-0.071487,0.999875,0.009091,0.007948,0.010195,0.208433,0.495939,-0.000159,-0.000513,0.000545,-0.000168,0.000260,0.000233,0.000000,0.000000,0.000000,-49.990939,-9.999389,-25.000759,0.047837,0.003248,-0.004023,0.999999,0.000399,0.000797,0.001196,0.198095,0.501704,0.005010,-0.003003,0.001998,0.020009,-0.009790,0.015247,0.000000,0.000000,0.000000,0.002499,0.002506,0.002508,9.079504,9.076964,9.072138,0.319452,0.308334,0.239214,0.000060,0.000061,0.000025,0.000025,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.615385,-49.413953,-9.513331,-24.550160,0.139569,0.029421,-0.083052,0.999855,0.010624,0.008199,0.010513,0.205223,0.496524,0.000016,-0.000552,0.000195,-0.000136,-0.000020,0.000288,0.000000,0.000000,0.000000,-49.988259,-9.999207,-25.000985,0.056814,0.003870,-0.004787,0.999998,0.000474,0.000947,0.001421,0.197741,0.502035,0.005010,-0.003001,0.002001,0.020036,-0.009778,0.015279,0.000000,0.000000,0.000000,0.002495,0.002507,0.002509,9.095202,9.091035,9.084446,0.331818,0.316136,0.235434,0.000057,0.000058,0.000025,0.000024,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.666667,-49.388890,-9.527253,-24.575989,0.169692,0.014457,-0.118901,0.999857,0.010304,0.007957,0.010812,0.205652,0.498285,-0.000003,-0.000759,0.000325,-0.000226,0.000076,0.000428,0.000000,0.000000,0.000000,-49.985099,-9.998991,-25.001251,0.066541,0.004550,-0.005617,0.999998,0.000555,0.001109,0.001664,0.197357,0.502398,0.005010,-0.003007,0.002001,0.020117,-0.009860,0.015243,0.000000,0.000000,0.000000,0.002494,0.002508,0.002511,9.112888,9.107138,9.098198,0.346060,0.327413,0.233416,0.000058,0.000059,0.000025,0.000024,0.000025,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.717949,-49.375723,-9.485741,-24.604915,0.179604,0.093786,-0.151281,0.999839,0.011601,0.007881,0.011167,0.203367,0.499654,0.000146,-0.000941,0.000088,-0.000257,-0.000150,0.000585,0.000000,0.000000,0.000000,-49.981422,-9.998739,-25.001562,0.077013,0.005286,-0.006514,0.999997,0.000642,0.001284,0.001926,0.196945,0.502792,0.005006,-0.003003,0.002003,0.020084,-0.009859,0.015402,0.000000,0.000000,0.000000,0.002486,0.002508,0.002512,9.131733,9.122988,9.111558,0.360166,0.335039,0.228805,0.000056,0.000056,0.000025,0.000024,0.000024,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.769231,-49.342830,-9.527824,-24.630627,0.216953,0.031267,-0.173634,0.999849,0.010575,0.007530,0.011535,0.204683,0.501008,0.000044,-0.001103,0.000377,-0.000372,0.000126,0.000702,0.000000,0.000000,0.000000,-49.977188,-9.998448,-25.001921,0.088222,0.006081,-0.007478,0.999996,0.000735,0.001471,0.002206,0.196505,0.503218,0.005003,-0.003001,0.002003,0.020191,-0.009879,0.015406,0.000000,0.000000,0.000000,0.002476,0.002507,0.002514,9.152084,9.139283,9.125120,0.374949,0.341965,0.223721,0.000054,0.000055,0.000025,0.000024,0.000024,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.820513,-49.311385,-9.525229,-24.668293,0.246255,0.042896,-0.211916,0.999846,0.010726,0.007220,0.011867,0.204238,0.502650,0.000079,-0.001319,0.000396,-0.000470,0.000128,0.000898,0.000000,0.000000,0.000000,-49.972361,-9.998115,-25.002330,0.100160,0.006935,-0.008509,0.999995,0.000835,0.001670,0.002505,0.196037,0.503676,0.005003,-0.003001,0.002002,0.020159,-0.009831,0.015446,0.000000,0.000000,0.000000,0.002471,0.002508,0.002516,9.175017,9.158505,9.140605,0.392158,0.354120,0.221140,0.000056,0.000057,0.000025,0.000024,0.000024,0.002500,0.002500,0.002500,1.000000,1.000000,1.000000
0.871795,-49.357161,-9.396904,-24.639275,0.190214,0.232114,-0.165805,0.999785,0.014258,0.008474,0.012437,0.199325,0.501236,0.000314,-0.001004,-0.000251,-0.000194,-0.000581,0.000640,0.000000,0.000000,0.000000,-49.966903,-9.997736,-25.002795,0.112820,0.007849,-0.009608,0.999994,0.000940,0.001881,0.002821,0.195542,0.504165,0.005005,-0.002996,0.002003,0.020227,-0.009904,0.015460,0.000000,0.000000,0.000000,0.002456,0.002507,0.002518,9.198606,9.175700,9.154561,0.408672,0.360342,0.215552,0.000055,0.000055,0.000025,0.000024,0.000024,0.002500,0.002499,0.002499,1.000000,1.000000,1.000000
0.923077,-49.271446,-9.293154,-24.769885,0.272353,0.369033,-0.305834,0.999750,0.016755,0.007402,0.012838,0.196382,0.506338,0.000622,-0.001792,-0.000574,-0.000528,-0.001070,0.001503,0.000000,0.000000,0.000000,-49.960777,-9.997309,-25.003317,0.126193,0.008823,-0.010775,0.999992,0.001052,0.002104,0.003156,0.195020,0.504688,0.005006,-0.002992,0.002006,0.020302,-0.009921,0.015444,0.000000,0.000000,0.000000,0.002438,0.002505,0.002520,9.223791,9.192760,9.168429,0.426017,0.365766,0.209751,0.000055,0.000054,0.000025,0.000023,0.000024,0.002500,0.002499,0.002499,1.000000,1.000000,1.000000
0.974359,-49.294541,-9.162700,-24.764123,0.234775,0.535797,-0.283587,0.999678,0.019794,0.008588,0.013357,0.192334,0.506593,0.000806,-0.001636,-0.001049,-0.000333,-0.001690,0.001365,0.000000,0.000000,0.000000,-49.953948,-9.996830,-25.003901,0.140271,0.009858,-0.012009,0.999990,0.001169,0.002339,0.003508,0.194471,0.505242,0.005005,-0.002993,0.002000,0.020295,-0.009906,0.015521,0.000000,0.000000,0.000000,0.002428,0.002505,0.002522,9.252486,9.214199,9.184947,0.445996,0.378073,0.206947,0.000058,0.000057,0.000025,0.000023,0.000024,0.002500,0.002499,0.002499,1.000000,1.000000,1.000000
