timestamp,roll_deg,pitch_deg,yaw_deg,x,y,z,vx,vy,vz,pbar_x,pbar_y,bgyr_x,bgyr_y,bgyr_z,bacc_x,bacc_y,bacc_z,bmag_x,bmag_y,bmag_z,P_dtheta_x,P_dtheta_y,P_dtheta_z,P_dpos_x,P_dpos_y,P_dpos_z,P_dvel_x,P_dvel_y,P_dvel_z,P_dpbar_x,P_dpbar_y,P_dbgyr_x,P_dbgyr_y,P_dbgyr_z,P_dbacc_x,P_dbacc_y,P_dbacc_z,P_dbmag_x,P_dbmag_y,P_dbmag_z
1768299697.787668,0.002131,-0.694160,-1.469340,1000.000000,1000.000000,1000.000000,0.000004,0.000018,0.000087,0.000000,0.000000,0.000000,0.000265,-0.000000,0.000095,0.000270,0.001498,0.000000,0.000000,0.000000,0.000292,0.000293,0.002498,9.000006,9.000006,9.000006,0.250001,0.250001,0.250001,1.000000,1.000000,0.000018,0.000018,0.000018,0.002477,0.002477,0.002304,1.000000,1.000000,1.000000
1768299697.790438,0.002163,-0.718061,-1.505256,1000.000000,1000.000000,1000.000001,0.000002,0.000022,0.000118,0.000000,0.000000,0.000000,0.000420,0.000000,0.000058,0.000321,0.002031,0.000000,0.000000,0.000000,0.000167,0.000168,0.002498,9.000025,9.000025,9.000025,0.250003,0.250003,0.250002,1.000000,1.000000,0.000015,0.000015,0.000015,0.002476,0.002476,0.002136,1.000000,1.000000,1.000000
1768299697.795344,0.001467,-0.726700,-1.464164,1000.000000,1000.000001,1000.000001,0.000001,0.000017,0.000187,0.000000,0.000000,-0.000000,0.000694,0.000000,0.000057,0.000216,0.003202,0.000000,0.000000,0.000000,0.000122,0.000123,0.002498,9.000056,9.000056,9.000056,0.250004,0.250004,0.250003,1.000000,1.000000,0.000012,0.000012,0.000012,0.002475,0.002475,0.001991,1.000000,1.000000,1.000000
1768299697.802866,0.000228,-0.758664,-1.401555,1000.000001,1000.000002,1000.000002,-0.000003,0.000011,0.000249,0.000000,0.000000,0.000146,0.000887,0.000000,0.000014,0.000078,0.004255,0.000000,0.000000,0.000000,0.000099,0.000100,0.002498,9.000100,9.000100,9.000100,0.250006,0.250006,0.250004,1.000000,1.000000,0.000010,0.000010,0.000010,0.002475,0.002475,0.001865,1.000000,1.000000,1.000000
1768299697.805331,179.999735,-179.221680,178.625390,1000.000001,1000.000003,1000.000004,-0.000005,0.000008,0.000302,0.000000,0.000000,0.000127,0.000902,0.000000,-0.000009,0.000008,0.005168,0.000000,0.000000,0.000000,0.000084,0.000085,0.002498,9.000156,9.000156,9.000156,0.250007,0.250007,0.250005,1.000000,1.000000,0.000009,0.000009,0.000009,0.002475,0.002474,0.001753,1.000000,1.000000,1.000000
1768299697.812624,179.999815,-179.217668,178.625236,1000.000002,1000.000003,1000.000005,-0.000005,0.000008,0.000316,0.000000,0.000000,0.000112,0.000800,0.000000,-0.000013,0.000002,0.005406,0.000000,0.000000,0.000000,0.000075,0.000076,0.002498,9.000225,9.000225,9.000225,0.250009,0.250009,0.250006,1.000000,1.000000,0.000008,0.000008,0.000008,0.002475,0.002474,0.001654,1.000000,1.000000,1.000000
1768299697.817895,179.998915,-179.222622,178.648819,1000.000001,1000.000005,1000.000006,-0.000005,0.000005,0.000362,0.000000,0.000000,0.000100,0.000718,0.000000,0.000007,-0.000058,0.006185,0.000000,0.000000,0.000000,0.000068,0.000069,0.002498,9.000306,9.000306,9.000306,0.250010,0.250010,0.250007,1.000000,1.000000,0.000007,0.000007,0.000007,0.002475,0.002474,0.001566,1.000000,1.000000,1.000000
1768299697.820363,179.998019,-179.226354,178.673581,1000.000001,1000.000007,1000.000008,-0.000004,0.000002,0.000403,0.000000,0.000000,0.000089,0.000651,0.000000,0.000024,-0.000118,0.006897,0.000000,0.000000,0.000000,0.000063,0.000064,0.002498,9.000400,9.000400,9.000400,0.250012,0.250012,0.250008,1.000000,1.000000,0.000006,0.000006,0.000006,0.002475,0.002474,0.001487,1.000000,1.000000,1.000000
1768299697.828012,179.998341,-179.222648,178.667756,1000.000001,1000.000007,1000.000009,-0.000005,0.000003,0.000466,0.000000,0.000000,-0.000003,0.000426,0.000000,0.000032,-0.000132,0.007962,0.000000,0.000000,0.000000,0.000059,0.000060,0.002498,9.000506,9.000506,9.000506,0.250013,0.250013,0.250009,1.000000,1.000000,0.000006,0.000006,0.000006,0.002475,0.002474,0.001415,1.000000,1.000000,1.000000
1768299697.830361,179.998706,-179.225356,178.652001,1000.000001,1000.000004,1000.000011,-0.000004,0.000005,0.000495,0.000000,0.000000,-0.000080,0.000235,0.000000,0.000044,-0.000115,0.008463,0.000000,0.000000,0.000000,0.000056,0.000057,0.002498,9.000625,9.000625,9.000625,0.250015,0.250015,0.250011,1.000000,1.000000,0.000005,0.000005,0.000005,0.002475,0.002474,0.001350,1.000000,1.000000,1.000000
